birth_year,generation
1946,Baby Boomers
1947,Baby Boomers
1948,Baby Boomers
1949,Baby Boomers
1950,Baby Boomers
1951,Baby Boomers
1952,Baby Boomers
1953,Baby Boomers
1954,Baby Boomers
1955,Baby Boomers
1956,Baby Boomers
1957,Baby Boomers
1958,Baby Boomers
1959,Baby Boomers
1960,Baby Boomers
1961,Baby Boomers
1962,Baby Boomers
1963,Baby Boomers
1964,Baby Boomers
1965,Gen X
1966,Gen X
1967,Gen X
1968,Gen X
1969,Gen X
1970,Gen X
1971,Gen X
1972,Gen X
1973,Gen X
1974,Gen X
1975,Gen X
1976,Gen X
1977,Gen X
1978,Gen X
1979,Gen X
1980,Older Millennials
1981,Older Millennials
1982,Older Millennials
1983,Older Millennials
1984,Older Millennials
1985,Older Millennials
1986,Older Millennials
1987,Older Millennials
1988,Older Millennials
1989,Older Millennials
1990,Younger Millennials
1991,Younger Millennials
1992,Younger Millennials
1993,Younger Millennials
1994,Younger Millennials
1995,Gen Z
1996,Gen Z
1997,Gen Z
1998,Gen Z
1999,Gen Z
2000,Gen Z
2001,Gen Z
2002,Gen Z
2003,Gen Z
2004,Gen Z
2005,Gen Z
2006,Gen Z
2007,Gen Z
2008,Gen Z
2009,Gen Z
2010,Gen Z
2011,Gen Z
2012,Gen Z
2013,Gen Z
2014,Gen Z
2015,Gen Z
