sales_outlet_id,transaction_date,product_id,start_of_day,quantity_sold,waste,% waste
3,4/1/2019,69,18,8,10,56%
3,4/1/2019,70,18,12,6,33%
3,4/1/2019,71,18,8,10,56%
3,4/1/2019,72,48,9,39,81%
3,4/1/2019,73,18,9,9,50%
3,4/2/2019,69,18,7,11,61%
3,4/2/2019,70,18,10,8,44%
3,4/2/2019,71,18,10,8,44%
3,4/2/2019,72,48,10,38,79%
3,4/2/2019,73,18,9,9,50%
3,4/3/2019,69,18,8,10,56%
3,4/3/2019,70,18,5,13,72%
3,4/3/2019,71,18,4,14,78%
3,4/3/2019,72,48,9,39,81%
3,4/3/2019,73,18,15,3,17%
3,4/4/2019,69,18,10,8,44%
3,4/4/2019,70,18,9,9,50%
3,4/4/2019,71,18,10,8,44%
3,4/4/2019,72,48,10,38,79%
3,4/4/2019,73,18,9,9,50%
3,4/5/2019,69,18,0,0,0
3,4/6/2019,69,18,14,4,22%
3,4/6/2019,70,18,11,7,39%
3,4/6/2019,71,18,13,5,28%
3,4/6/2019,72,48,23,25,52%
3,4/6/2019,73,18,9,9,50%
3,4/7/2019,69,18,6,12,67%
3,4/7/2019,70,18,3,15,83%
3,4/7/2019,71,18,3,15,83%
3,4/7/2019,72,48,11,37,77%
3,4/7/2019,73,18,3,15,83%
3,4/8/2019,69,18,12,6,33%
3,4/8/2019,70,18,11,7,39%
3,4/8/2019,71,18,14,4,22%
3,4/8/2019,72,48,8,40,90%
3,4/8/2019,73,18,6,12,67%
3,4/9/2019,69,18,4,14,78%
3,4/9/2019,70,18,7,11,61%
3,4/9/2019,71,18,8,10,56%
3,4/9/2019,72,48,6,42,88%
3,4/10/2019,69,18,5,13,72%
3,4/10/2019,70,18,7,11,61%
3,4/10/2019,71,18,10,8,44%
3,4/10/2019,72,48,7,41,90%
3,4/10/2019,73,18,6,12,67%
3,4/11/2019,69,18,6,12,67%
3,4/11/2019,70,18,4,14,78%
3,4/11/2019,71,18,12,6,33%
3,4/11/2019,72,48,8,40,94%
3,4/11/2019,73,18,3,15,83%
3,4/12/2019,69,18,11,7,39%
3,4/12/2019,70,18,6,12,67%
3,4/12/2019,71,18,5,13,72%
3,4/12/2019,72,48,9,39,90%
3,4/12/2019,73,18,6,12,67%
3,4/13/2019,69,18,9,9,50%
3,4/13/2019,70,18,3,15,83%
3,4/13/2019,71,18,9,9,50%
3,4/13/2019,72,48,8,40,92%
3,4/13/2019,73,18,11,7,39%
3,4/14/2019,72,48,8,44,92%
3,4/14/2019,69,18,8,10,56%
3,4/14/2019,70,18,12,6,33%
3,4/14/2019,71,18,8,10,56%
3,4/14/2019,73,18,9,9,50%
3,4/15/2019,69,18,7,11,61%
3,4/15/2019,70,18,10,8,44%
3,4/15/2019,71,18,10,8,44%
3,4/15/2019,72,48,10,38,79%
3,4/15/2019,73,18,9,9,50%
